02000US1 |1 |Northeast |B17001 |1 |Total: |53,147,002 |+/-8,533 |53,138,469 |53,155,535 |5,188
02000US2 |2 |Midwest |B17010C |35 |No related children under 18 years |2,347 |+/-575 |1,772 |2,922 |349
02000US2 |2 |Midwest |B17010C |36 |Female householder, no husband present: |16,560 |+/-1,577 |14,983 |18,137 |958
02000US2 |2 |Midwest |B17010C |37 |With related children under 18 years: |12,148 |+/-1,547 |10,601 |13,695 |940
02000US2 |2 |Midwest |B17010C |38 |Under 5 years only |2,372 |+/-803 |1,569 |3,175 |488
02000US2 |2 |Midwest |B17010C |39 |Under 5 years and 5 to 17 years |2,258 |+/-618 |1,640 |2,876 |376
02000US2 |2 |Midwest |B17010C |40 |5 to 17 years only |7,518 |+/-1,192 |6,326 |8,710 |725
02000US2 |2 |Midwest |B17010C |41 |No related children under 18 years |4,412 |+/-735 |3,677 |5,147 |447
02000US2 |2 |Midwest |B17010D |1 |Total: |364,034 |+/-5,400 |358,634 |369,434 |3,283
02000US2 |2 |Midwest |B17010D |2 |Income in the past 12 months below poverty level: |30,454 |+/-2,890 |27,564 |33,344 |1,757
02000US2 |2 |Midwest |B17010D |3 |Married-couple family: |19,786 |+/-2,234 |17,552 |22,020 |1,358
02000US2 |2 |Midwest |B17010D |4 |With related children under 18 years: |13,298 |+/-1,975 |11,323 |15,273 |1,200
02000US2 |2 |Midwest |B17010D |5 |Under 5 years only |2,322 |+/-627 |1,695 |2,949 |381
02000US2 |2 |Midwest |B17010D |6 |Under 5 years and 5 to 17 years |4,570 |+/-1,211 |3,359 |5,781 |736
02000US2 |2 |Midwest |B17010D |7 |5 to 17 years only |6,406 |+/-1,249 |5,157 |7,655 |759
02000US2 |2 |Midwest |B17010D |8 |No related children under 18 years |6,488 |+/-1,336 |5,152 |7,824 |812
02000US2 |2 |Midwest |B17010D |9 |Other family: |10,668 |+/-1,703 |8,965 |12,371 |1,035
02000US2 |2 |Midwest |B17010D |10 |Male householder, no wife present: |2,885 |+/-800 |2,085 |3,685 |487
02000US2 |2 |Midwest |B17010D |11 |With related children under 18 years: |1,599 |+/-544 |1,055 |2,143 |331
02000US2 |2 |Midwest |B17010D |12 |Under 5 years only |280 |+/-242 |38 |522 |147
02000US2 |2 |Midwest |B17010D |13 |Under 5 years and 5 to 17 years |180 |+/-138 |42 |318 |84
02000US2 |2 |Midwest |B17010D |14 |5 to 17 years only |1,139 |+/-467 |672 |1,606 |284
02000US2 |2 |Midwest |B17010D |15 |No related children under 18 years |1,286 |+/-598 |688 |1,884 |364
02000US2 |2 |Midwest |B17010D |16 |Female householder, no husband present: |7,783 |+/-1,369 |6,414 |9,152 |832
02000US2 |2 |Midwest |B17010D |17 |With related children under 18 years: |6,404 |+/-1,328 |5,076 |7,732 |807
02000US2 |2 |Midwest |B17010D |18 |Under 5 years only |1,222 |+/-621 |601 |1,843 |378
02000US2 |2 |Midwest |B17010D |19 |Under 5 years and 5 to 17 years |1,245 |+/-627 |618 |1,872 |381
02000US2 |2 |Midwest |B17010D |20 |5 to 17 years only |3,937 |+/-876 |3,061 |4,813 |533
02000US2 |2 |Midwest |B17010D |21 |No related children under 18 years |1,379 |+/-546 |833 |1,925 |332
02000US2 |2 |Midwest |B17010D |22 |Income in the past 12 months at or above poverty level: |333,580 |+/-6,147 |327,433 |339,727 |3,737
02000US2 |2 |Midwest |B17010D |23 |Married-couple family: |289,550 |+/-6,468 |283,082 |296,018 |3,932
02000US2 |2 |Midwest |B17010D |24 |With related children under 18 years: |173,654 |+/-5,199 |168,455 |178,853 |3,160
02000US2 |2 |Midwest |B17010D |25 |Under 5 years only |47,910 |+/-3,362 |44,548 |51,272 |2,044
02000US2 |2 |Midwest |B17010D |26 |Under 5 years and 5 to 17 years |36,185 |+/-2,778 |33,407 |38,963 |1,689
02000US2 |2 |Midwest |B17010D |27 |5 to 17 years only |89,559 |+/-3,313 |86,246 |92,872 |2,014
02000US2 |2 |Midwest |B17010D |28 |No related children under 18 years |115,896 |+/-3,980 |111,916 |119,876 |2,420
02000US2 |2 |Midwest |B17010D |29 |Other family: |44,030 |+/-3,570 |40,460 |47,600 |2,170
02000US2 |2 |Midwest |B17010D |30 |Male householder, no wife present: |16,073 |+/-1,890 |14,183 |17,963 |1,149
02000US2 |2 |Midwest |B17010D |31 |With related children under 18 years: |8,309 |+/-1,606 |6,703 |9,915 |976
02000US2 |2 |Midwest |B17010D |32 |Under 5 years only |2,309 |+/-945 |1,364 |3,254 |575
02000US2 |2 |Midwest |B17010D |33 |Under 5 years and 5 to 17 years |1,243 |+/-578 |665 |1,821 |352
02000US2 |2 |Midwest |B17010D |34 |5 to 17 years only |4,757 |+/-941 |3,816 |5,698 |572
02000US2 |2 |Midwest |B17010D |35 |No related children under 18 years |7,764 |+/-1,289 |6,475 |9,053 |784
02000US2 |2 |Midwest |B17010D |36 |Female householder, no husband present: |27,957 |+/-2,725 |25,232 |30,682 |1,656
02000US2 |2 |Midwest |B17010D |37 |With related children under 18 years: |16,750 |+/-2,148 |14,602 |18,898 |1,306
02000US2 |2 |Midwest |B17010D |38 |Under 5 years only |3,364 |+/-726 |2,638 |4,090 |442
02000US2 |2 |Midwest |B17010D |39 |Under 5 years and 5 to 17 years |2,094 |+/-744 |1,350 |2,838 |453
02000US2 |2 |Midwest |B17010D |40 |5 to 17 years only |11,292 |+/-1,760 |9,532 |13,052 |1,070
02000US2 |2 |Midwest |B17010D |41 |No related children under 18 years |11,207 |+/-1,752 |9,455 |12,959 |1,065
02000US2 |2 |Midwest |B17010E |1 |Total: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |2 |Income in the past 12 months below poverty level: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |3 |Married-couple family: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |4 |With related children under 18 years: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |5 |Under 5 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |6 |Under 5 years and 5 to 17 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |7 |5 to 17 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |8 |No related children under 18 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |9 |Other family: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |10 |Male householder, no wife present: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |11 |With related children under 18 years: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |12 |Under 5 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |13 |Under 5 years and 5 to 17 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |14 |5 to 17 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |15 |No related children under 18 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |16 |Female householder, no husband present: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |17 |With related children under 18 years: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |18 |Under 5 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |19 |Under 5 years and 5 to 17 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |20 |5 to 17 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |21 |No related children under 18 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |22 |Income in the past 12 months at or above poverty level: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |23 |Married-couple family: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |24 |With related children under 18 years: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |25 |Under 5 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |26 |Under 5 years and 5 to 17 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |27 |5 to 17 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |28 |No related children under 18 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |29 |Other family: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |30 |Male householder, no wife present: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |31 |With related children under 18 years: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |32 |Under 5 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |33 |Under 5 years and 5 to 17 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |34 |5 to 17 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |35 |No related children under 18 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |36 |Female householder, no husband present: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |37 |With related children under 18 years: |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |38 |Under 5 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |39 |Under 5 years and 5 to 17 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |40 |5 to 17 years only |N |N |N |N |N
02000US2 |2 |Midwest |B17010E |41 |No related children under 18 years |N |N |N |N |N
02000US2 |2 |Midwest |B17010F |1 |Total: |434,080 |+/-9,889 |424,191 |443,969 |6,011
02000US2 |2 |Midwest |B17010F |2 |Income in the past 12 months below poverty level: |87,369 |+/-5,080 |82,289 |92,449 |3,088
02000US2 |2 |Midwest |B17010F |3 |Married-couple family: |40,693 |+/-3,610 |37,083 |44,303 |2,194
02000US2 |2 |Midwest |B17010F |4 |With related children under 18 years: |36,743 |+/-3,497 |33,246 |40,240 |2,126
02000US2 |2 |Midwest |B17010F |5 |Under 5 years only |6,123 |+/-1,662 |4,461 |7,785 |1,010
02000US2 |2 |Midwest |B17010F |6 |Under 5 years and 5 to 17 years |17,602 |+/-2,436 |15,166 |20,038 |1,481
02000US2 |2 |Midwest |B17010F |7 |5 to 17 years only |13,018 |+/-2,086 |10,932 |15,104 |1,268
02000US2 |2 |Midwest |B17010F |8 |No related children under 18 years |3,950 |+/-1,010 |2,940 |4,960 |614
02000US2 |2 |Midwest |B17010F |9 |Other family: |46,676 |+/-3,924 |42,752 |50,600 |2,386
02000US2 |2 |Midwest |B17010F |10 |Male householder, no wife present: |9,305 |+/-1,703 |7,602 |11,008 |1,035
02000US2 |2 |Midwest |B17010F |11 |With related children under 18 years: |7,869 |+/-1,615 |6,254 |9,484 |982
02000US2 |2 |Midwest |B17010F |12 |Under 5 years only |2,221 |+/-773 |1,448 |2,994 |470
02000US2 |2 |Midwest |B17010F |13 |Under 5 years and 5 to 17 years |2,338 |+/-923 |1,415 |3,261 |561
02000US2 |2 |Midwest |B17010F |14 |5 to 17 years only |3,310 |+/-963 |2,347 |4,273 |585
02000US2 |2 |Midwest |B17010F |15 |No related children under 18 years |1,436 |+/-558 |878 |1,994 |339
02000US2 |2 |Midwest |B17010F |16 |Female householder, no husband present: |37,371 |+/-3,391 |33,980 |40,762 |2,062
02000US2 |2 |Midwest |B17010F |17 |With related children under 18 years: |34,631 |+/-3,273 |31,358 |37,904 |1,990
02000US2 |2 |Midwest |B17010F |18 |Under 5 years only |8,223 |+/-1,501 |6,722 |9,724 |912
02000US2 |2 |Midwest |B17010F |19 |Under 5 years and 5 to 17 years |10,543 |+/-2,058 |8,485 |12,601 |1,251
02000US2 |2 |Midwest |B17010F |20 |5 to 17 years only |15,865 |+/-2,170 |13,695 |18,035 |1,319
02000US2 |2 |Midwest |B17010F |21 |No related children under 18 years |2,740 |+/-869 |1,871 |3,609 |528
02000US2 |2 |Midwest |B17010F |22 |Income in the past 12 months at or above poverty level: |346,711 |+/-9,240 |337,471 |355,951 |5,617
02000US2 |2 |Midwest |B17010F |23 |Married-couple family: |244,327 |+/-8,521 |235,806 |252,848 |5,180
02000US2 |2 |Midwest |B17010F |24 |With related children under 18 years: |177,539 |+/-6,588 |170,951 |184,127 |4,005
02000US2 |2 |Midwest |B17010F |25 |Under 5 years only |31,011 |+/-2,868 |28,143 |33,879 |1,743
02000US2 |2 |Midwest |B17010F |26 |Under 5 years and 5 to 17 years |53,112 |+/-3,742 |49,370 |56,854 |2,275
02000US2 |2 |Midwest |B17010F |27 |5 to 17 years only |93,416 |+/-4,806 |88,610 |98,222 |2,921
02000US2 |2 |Midwest |B17010F |28 |No related children under 18 years |66,788 |+/-3,995 |62,793 |70,783 |2,428
02000US2 |2 |Midwest |B17010F |29 |Other family: |102,384 |+/-5,016 |97,368 |107,400 |3,049
02000US2 |2 |Midwest |B17010F |30 |Male householder, no wife present: |47,194 |+/-3,872 |43,322 |51,066 |2,354
02000US2 |2 |Midwest |B17010F |31 |With related children under 18 years: |26,500 |+/-2,940 |23,560 |29,440 |1,787
02000US2 |2 |Midwest |B17010F |32 |Under 5 years only |7,995 |+/-1,440 |6,555 |9,435 |875
02000US2 |2 |Midwest |B17010F |33 |Under 5 years and 5 to 17 years |6,447 |+/-1,429 |5,018 |7,876 |869
02000US2 |2 |Midwest |B17010F |34 |5 to 17 years only |12,058 |+/-1,975 |10,083 |14,033 |1,200
02000US2 |2 |Midwest |B17010F |35 |No related children under 18 years |20,694 |+/-2,408 |18,286 |23,102 |1,464
02000US2 |2 |Midwest |B17010F |36 |Female householder, no husband present: |55,190 |+/-4,173 |51,017 |59,363 |2,537
02000US2 |2 |Midwest |B17010F |37 |With related children under 18 years: |41,146 |+/-3,505 |37,641 |44,651 |2,131
02000US2 |2 |Midwest |B17010F |38 |Under 5 years only |5,499 |+/-1,356 |4,143 |6,855 |824
02000US2 |2 |Midwest |B17010F |39 |Under 5 years and 5 to 17 years |7,413 |+/-1,690 |5,723 |9,103 |1,027
02000US2 |2 |Midwest |B17010F |40 |5 to 17 years only |28,234 |+/-2,820 |25,414 |31,054 |1,714
02000US2 |2 |Midwest |B17010F |41 |No related children under 18 years |14,044 |+/-1,839 |12,205 |15,883 |1,118
02000US2 |2 |Midwest |B17010G |1 |Total: |151,960 |+/-6,507 |145,453 |158,467 |3,956
02000US2 |2 |Midwest |B17010G |2 |Income in the past 12 months below poverty level: |24,774 |+/-2,494 |22,280 |27,268 |1,516
02000US2 |2 |Midwest |B17010G |3 |Married-couple family: |6,192 |+/-1,344 |4,848 |7,536 |817
02000US2 |2 |Midwest |B17010G |4 |With related children under 18 years: |4,547 |+/-1,222 |3,325 |5,769 |743
02000US2 |2 |Midwest |B17010G |5 |Under 5 years only |1,070 |+/-516 |554 |1,586 |314
02000US2 |2 |Midwest |B17010G |6 |Under 5 years and 5 to 17 years |1,863 |+/-792 |1,071 |2,655 |482
02000US2 |2 |Midwest |B17010G |7 |5 to 17 years only |1,614 |+/-620 |994 |2,234 |377
02000US2 |2 |Midwest |B17010G |8 |No related children under 18 years |1,645 |+/-588 |1,057 |2,233 |357
02000US2 |2 |Midwest |B17010G |9 |Other family: |18,582 |+/-2,149 |16,433 |20,731 |1,306
02000US2 |2 |Midwest |B17010G |10 |Male householder, no wife present: |1,754 |+/-590 |1,164 |2,344 |358
02000US2 |2 |Midwest |B17010G |11 |With related children under 18 years: |1,605 |+/-555 |1,050 |2,160 |337
02000US2 |2 |Midwest |B17010G |12 |Under 5 years only |637 |+/-313 |324 |950 |191
02000US2 |2 |Midwest |B17010G |13 |Under 5 years and 5 to 17 years |222 |+/-227 |0 |449 |138
02000US2 |2 |Midwest |B17010G |14 |5 to 17 years only |746 |+/-372 |374 |1,118 |226
02000US2 |2 |Midwest |B17010G |15 |No related children under 18 years |149 |+/-123 |26 |272 |75
02000US2 |2 |Midwest |B17010G |16 |Female householder, no husband present: |16,828 |+/-2,136 |14,692 |18,964 |1,298
02000US2 |2 |Midwest |B17010G |17 |With related children under 18 years: |15,506 |+/-1,963 |13,543 |17,469 |1,193
02000US2 |2 |Midwest |B17010G |18 |Under 5 years only |4,427 |+/-1,169 |3,258 |5,596 |711
02000US2 |2 |Midwest |B17010G |19 |Under 5 years and 5 to 17 years |4,223 |+/-951 |3,272 |5,174 |578
02000US2 |2 |Midwest |B17010G |20 |5 to 17 years only |6,856 |+/-1,275 |5,581 |8,131 |775
02000US2 |2 |Midwest |B17010G |21 |No related children under 18 years |1,322 |+/-563 |759 |1,885 |342
02000US2 |2 |Midwest |B17010G |22 |Income in the past 12 months at or above poverty level: |127,186 |+/-5,299 |121,887 |132,485 |3,222
02000US2 |2 |Midwest |B17010G |23 |Married-couple family: |91,037 |+/-4,734 |86,303 |95,771 |2,878
02000US2 |2 |Midwest |B17010G |24 |With related children under 18 years: |47,923 |+/-3,444 |44,479 |51,367 |2,094
02000US2 |2 |Midwest |B17010G |25 |Under 5 years only |9,531 |+/-1,454 |8,077 |10,985 |884
02000US2 |2 |Midwest |B17010G |26 |Under 5 years and 5 to 17 years |10,653 |+/-1,515 |9,138 |12,168 |921
02000US2 |2 |Midwest |B17010G |27 |5 to 17 years only |27,739 |+/-2,633 |25,106 |30,372 |1,600
02000US2 |2 |Midwest |B17010G |28 |No related children under 18 years |43,114 |+/-2,895 |40,219 |46,009 |1,760
02000US2 |2 |Midwest |B17010G |29 |Other family: |36,149 |+/-2,695 |33,454 |38,844 |1,638
02000US2 |2 |Midwest |B17010G |30 |Male householder, no wife present: |9,892 |+/-1,455 |8,437 |11,347 |884
02000US2 |2 |Midwest |B17010G |31 |With related children under 18 years: |6,157 |+/-1,212 |4,945 |7,369 |737
02000US2 |2 |Midwest |B17010G |32 |Under 5 years only |1,443 |+/-679 |764 |2,122 |413
02000US2 |2 |Midwest |B17010G |33 |Under 5 years and 5 to 17 years |848 |+/-390 |458 |1,238 |237
02000US2 |2 |Midwest |B17010G |34 |5 to 17 years only |3,866 |+/-985 |2,881 |4,851 |598
02000US2 |2 |Midwest |B17010G |35 |No related children under 18 years |3,735 |+/-761 |2,974 |4,496 |463
02000US2 |2 |Midwest |B17010G |36 |Female householder, no husband present: |26,257 |+/-2,279 |23,978 |28,536 |1,386
02000US2 |2 |Midwest |B17010G |37 |With related children under 18 years: |18,202 |+/-2,111 |16,091 |20,313 |1,283
02000US2 |2 |Midwest |B17010G |38 |Under 5 years only |3,818 |+/-875 |2,943 |4,693 |532
02000US2 |2 |Midwest |B17010G |39 |Under 5 years and 5 to 17 years |2,498 |+/-758 |1,740 |3,256 |461
02000US2 |2 |Midwest |B17010G |40 |5 to 17 years only |11,886 |+/-1,887 |9,999 |13,773 |1,147
02000US2 |2 |Midwest |B17010G |41 |No related children under 18 years |8,055 |+/-1,156 |6,899 |9,211 |703
02000US2 |2 |Midwest |B17010H |1 |Total: |14,063,413 |+/-40,273 |14,023,140 |14,103,686 |24,482
02000US2 |2 |Midwest |B17010H |2 |Income in the past 12 months below poverty level: |885,577 |+/-13,825 |871,752 |899,402 |8,404
02000US2 |2 |Midwest |B17010H |3 |Married-couple family: |346,153 |+/-8,491 |337,662 |354,644 |5,162
02000US2 |2 |Midwest |B17010H |4 |With related children under 18 years: |189,532 |+/-6,154 |183,378 |195,686 |3,741
02000US2 |2 |Midwest |B17010H |5 |Under 5 years only |34,591 |+/-3,088 |31,503 |37,679 |1,877
02000US2 |2 |Midwest |B17010H |6 |Under 5 years and 5 to 17 years |65,935 |+/-4,045 |61,890 |69,980 |2,459
02000US2 |2 |Midwest |B17010H |7 |5 to 17 years only |89,006 |+/-4,300 |84,706 |93,306 |2,614
02000US2 |2 |Midwest |B17010H |8 |No related children under 18 years |156,621 |+/-5,352 |151,269 |161,973 |3,254
02000US2 |2 |Midwest |B17010H |9 |Other family: |539,424 |+/-12,013 |527,411 |551,437 |7,303
02000US2 |2 |Midwest |B17010H |10 |Male householder, no wife present: |84,938 |+/-4,549 |80,389 |89,487 |2,765
02000US2 |2 |Midwest |B17010H |11 |With related children under 18 years: |66,859 |+/-3,998 |62,861 |70,857 |2,431
02000US2 |2 |Midwest |B17010H |12 |Under 5 years only |19,519 |+/-2,397 |17,122 |21,916 |1,457
02000US2 |2 |Midwest |B17010H |13 |Under 5 years and 5 to 17 years |11,442 |+/-1,901 |9,541 |13,343 |1,156
02000US2 |2 |Midwest |B17010H |14 |5 to 17 years only |35,898 |+/-2,815 |33,083 |38,713 |1,711
02000US2 |2 |Midwest |B17010H |15 |No related children under 18 years |18,079 |+/-1,617 |16,462 |19,696 |983
02000US2 |2 |Midwest |B17010H |16 |Female householder, no husband present: |454,486 |+/-10,677 |443,809 |465,163 |6,491
02000US2 |2 |Midwest |B17010H |17 |With related children under 18 years: |408,802 |+/-9,911 |398,891 |418,713 |6,025
02000US2 |2 |Midwest |B17010H |18 |Under 5 years only |105,310 |+/-5,059 |100,251 |110,369 |3,075
02000US2 |2 |Midwest |B17010H |19 |Under 5 years and 5 to 17 years |96,271 |+/-5,049 |91,222 |101,320 |3,069
02000US2 |2 |Midwest |B17010H |20 |5 to 17 years only |207,221 |+/-6,789 |200,432 |214,010 |4,127
02000US2 |2 |Midwest |B17010H |21 |No related children under 18 years |45,684 |+/-3,612 |42,072 |49,296 |2,196
02000US2 |2 |Midwest |B17010H |22 |Income in the past 12 months at or above poverty level: |13,177,836 |+/-42,862 |13,134,974 |13,220,698 |26,056
02000US2 |2 |Midwest |B17010H |23 |Married-couple family: |11,053,252 |+/-43,135 |11,010,117 |11,096,387 |26,222
02000US2 |2 |Midwest |B17010H |24 |With related children under 18 years: |4,636,449 |+/-31,614 |4,604,835 |4,668,063 |19,218
02000US2 |2 |Midwest |B17010H |25 |Under 5 years only |882,006 |+/-14,485 |867,521 |896,491 |8,805
02000US2 |2 |Midwest |B17010H |26 |Under 5 years and 5 to 17 years |870,202 |+/-11,977 |858,225 |882,179 |7,281
02000US2 |2 |Midwest |B17010H |27 |5 to 17 years only |2,884,241 |+/-23,569 |2,860,672 |2,907,810 |14,327
02000US2 |2 |Midwest |B17010H |28 |No related children under 18 years |6,416,803 |+/-28,161 |6,388,642 |6,444,964 |17,119
02000US2 |2 |Midwest |B17010H |29 |Other family: |2,124,584 |+/-21,792 |2,102,792 |2,146,376 |13,247
02000US2 |2 |Midwest |B17010H |30 |Male householder, no wife present: |695,536 |+/-13,717 |681,819 |709,253 |8,339
02000US2 |2 |Midwest |B17010H |31 |With related children under 18 years: |392,406 |+/-9,978 |382,428 |402,384 |6,066
02000US2 |2 |Midwest |B17010H |32 |Under 5 years only |88,472 |+/-5,474 |82,998 |93,946 |3,328
02000US2 |2 |Midwest |B17010H |33 |Under 5 years and 5 to 17 years |36,634 |+/-2,897 |33,737 |39,531 |1,761
02000US2 |2 |Midwest |B17010H |34 |5 to 17 years only |267,300 |+/-7,464 |259,836 |274,764 |4,537
02000US2 |2 |Midwest |B17010H |35 |No related children under 18 years |303,130 |+/-7,479 |295,651 |310,609 |4,546
02000US2 |2 |Midwest |B17010H |36 |Female householder, no husband present: |1,429,048 |+/-15,890 |1,413,158 |1,444,938 |9,659
02000US2 |2 |Midwest |B17010H |37 |With related children under 18 years: |851,955 |+/-13,994 |837,961 |865,949 |8,507
02000US2 |2 |Midwest |B17010H |38 |Under 5 years only |128,418 |+/-5,481 |122,937 |133,899 |3,332
02000US2 |2 |Midwest |B17010H |39 |Under 5 years and 5 to 17 years |87,607 |+/-4,825 |82,782 |92,432 |2,933
02000US2 |2 |Midwest |B17010H |40 |5 to 17 years only |635,930 |+/-12,219 |623,711 |648,149 |7,428
02000US2 |2 |Midwest |B17010H |41 |No related children under 18 years |577,093 |+/-9,427 |567,666 |586,520 |5,730
02000US2 |2 |Midwest |B17010I |1 |Total: |829,797 |+/-10,926 |818,871 |840,723 |6,642
02000US2 |2 |Midwest |B17010I |2 |Income in the past 12 months below poverty level: |158,292 |+/-6,959 |151,333 |165,251 |4,230
02000US2 |2 |Midwest |B17010I |3 |Married-couple family: |70,591 |+/-4,861 |65,730 |75,452 |2,955
02000US2 |2 |Midwest |B17010I |4 |With related children under 18 years: |61,935 |+/-4,492 |57,443 |66,427 |2,731
02000US2 |2 |Midwest |B17010I |5 |Under 5 years only |10,067 |+/-1,872 |8,195 |11,939 |1,138
02000US2 |2 |Midwest |B17010I |6 |Under 5 years and 5 to 17 years |29,913 |+/-2,920 |26,993 |32,833 |1,775
02000US2 |2 |Midwest |B17010I |7 |5 to 17 years only |21,955 |+/-2,806 |19,149 |24,761 |1,706
02000US2 |2 |Midwest |B17010I |8 |No related children under 18 years |8,656 |+/-1,674 |6,982 |10,330 |1,018
02000US2 |2 |Midwest |B17010I |9 |Other family: |87,701 |+/-5,315 |82,386 |93,016 |3,231
02000US2 |2 |Midwest |B17010I |10 |Male householder, no wife present: |17,641 |+/-2,184 |15,457 |19,825 |1,328
02000US2 |2 |Midwest |B17010I |11 |With related children under 18 years: |15,075 |+/-2,148 |12,927 |17,223 |1,306
02000US2 |2 |Midwest |B17010I |12 |Under 5 years only |4,618 |+/-1,112 |3,506 |5,730 |676
02000US2 |2 |Midwest |B17010I |13 |Under 5 years and 5 to 17 years |5,157 |+/-1,182 |3,975 |6,339 |718
02000US2 |2 |Midwest |B17010I |14 |5 to 17 years only |5,300 |+/-1,152 |4,148 |6,452 |700
02000US2 |2 |Midwest |B17010I |15 |No related children under 18 years |2,566 |+/-748 |1,818 |3,314 |455
02000US2 |2 |Midwest |B17010I |16 |Female householder, no husband present: |70,060 |+/-4,659 |65,401 |74,719 |2,832
02000US2 |2 |Midwest |B17010I |17 |With related children under 18 years: |66,150 |+/-4,553 |61,597 |70,703 |2,768
02000US2 |2 |Midwest |B17010I |18 |Under 5 years only |17,403 |+/-2,504 |14,899 |19,907 |1,522
02000US2 |2 |Midwest |B17010I |19 |Under 5 years and 5 to 17 years |20,033 |+/-2,685 |17,348 |22,718 |1,632
02000US2 |2 |Midwest |B17010I |20 |5 to 17 years only |28,714 |+/-2,651 |26,063 |31,365 |1,611
02000US2 |2 |Midwest |B17010I |21 |No related children under 18 years |3,910 |+/-919 |2,991 |4,829 |559
02000US2 |2 |Midwest |B17010I |22 |Income in the past 12 months at or above poverty level: |671,505 |+/-11,416 |660,089 |682,921 |6,940
02000US2 |2 |Midwest |B17010I |23 |Married-couple family: |482,927 |+/-10,780 |472,147 |493,707 |6,553
02000US2 |2 |Midwest |B17010I |24 |With related children under 18 years: |332,971 |+/-9,012 |323,959 |341,983 |5,479
02000US2 |2 |Midwest |B17010I |25 |Under 5 years only |63,153 |+/-4,296 |58,857 |67,449 |2,612
02000US2 |2 |Midwest |B17010I |26 |Under 5 years and 5 to 17 years |100,233 |+/-5,344 |94,889 |105,577 |3,249
02000US2 |2 |Midwest |B17010I |27 |5 to 17 years only |169,585 |+/-5,986 |163,599 |175,571 |3,639
02000US2 |2 |Midwest |B17010I |28 |No related children under 18 years |149,956 |+/-5,347 |144,609 |155,303 |3,250
02000US2 |2 |Midwest |B17010I |29 |Other family: |188,578 |+/-7,788 |180,790 |196,366 |4,734
02000US2 |2 |Midwest |B17010I |30 |Male householder, no wife present: |84,856 |+/-5,346 |79,510 |90,202 |3,250
02000US2 |2 |Midwest |B17010I |31 |With related children under 18 years: |50,072 |+/-4,348 |45,724 |54,420 |2,643
02000US2 |2 |Midwest |B17010I |32 |Under 5 years only |15,671 |+/-2,080 |13,591 |17,751 |1,264
02000US2 |2 |Midwest |B17010I |33 |Under 5 years and 5 to 17 years |10,038 |+/-1,924 |8,114 |11,962 |1,170
02000US2 |2 |Midwest |B17010I |34 |5 to 17 years only |24,363 |+/-2,953 |21,410 |27,316 |1,795
02000US2 |2 |Midwest |B17010I |35 |No related children under 18 years |34,784 |+/-3,371 |31,413 |38,155 |2,049
02000US2 |2 |Midwest |B17010I |36 |Female householder, no husband present: |103,722 |+/-5,485 |98,237 |109,207 |3,334
02000US2 |2 |Midwest |B17010I |37 |With related children under 18 years: |76,294 |+/-4,783 |71,511 |81,077 |2,907
02000US2 |2 |Midwest |B17010I |38 |Under 5 years only |12,112 |+/-1,866 |10,246 |13,978 |1,134
02000US2 |2 |Midwest |B17010I |39 |Under 5 years and 5 to 17 years |12,804 |+/-2,043 |10,761 |14,847 |1,242
